Sr#,Project_Title,Approval_Status,Approved_Date,Total_Cost,Foreign Loan,Expenditure_2024,Throwforward_2025,Rupee_Funding,Allocation_2024_25,Type,Ministry,Utilization%,Approval_Year,Approval_Month
26,Green Pakistan Programme (Revised) (50:50),ECNEC,2019-08-29,125184.3,0.0,29564.06,95620.25,5000.0,5000.0,On-going,CLIMATE CHANGE DIVISION,23.61642794,2019.0,8.0
27,Pakistan Bio Safety Clearing House for GMOs Regulation,DDWP,2023-05-29,200.0,0.0,19.075,180.925,100.0,100.0,On-going,CLIMATE CHANGE DIVISION,9.5375,2023.0,5.0
28,Strengthening Technical Capacities of the Ministry of Climate Change & Environmental Coordination (STC-MoCC),CDWP,2023-10-30,306.66,101.96,0.0,306.66,0.0,101.96,New,CLIMATE CHANGE DIVISION,0.0,2023.0,10.0
29,Expo Centre Quetta,CDWP,2019-09-25,2500.0,0.0,1044.72,1455.28,1455.28,1455.28,On-going,COMMERCE DIVISION,41.7888,2019.0,9.0
30,Export Accelerator for SMEs,CDWP,2024-06-27,3000.0,0.0,0.0,3000.0,750.018,750.018,New,COMMERCE DIVISION,0.0,2024.0,6.0
31,1x Dormitory for 200 student at CTTI Islamabad,DDWP,,203.0,0.0,166.158,36.842,36.843,36.843,On-going,COMMUNICATIONS DIVISION,81.85123153,,
32,Construction of NHMP Building for SSP / LHQ Sector-II M-5 at Rahim Yar Khan Interchange (South Loop) RD RD 560+043,DDWP,2021-04-13,216.82,0.0,95.361,121.459,121.459,121.459,On-going,COMMUNICATIONS DIVISION,43.98164376,2021.0,4.0
33,"Construction of NHMP Building for SSP/LHQs Sector-I M-5 at Sher Shah Interchange, Shah Interchange (South Loop) RD 772- 000 Motorway M-5",DDWP,2021-04-13,217.003,0.0,120.05,96.953,96.953,96.953,On-going,COMMUNICATIONS DIVISION,55.32181583,2021.0,4.0
34,Acquisition of 106 Kanal 15 Marla Land alongwith its boundary wall for NHMP training College Sheikhupura,DDWP,2022-11-02,120.398,0.0,92.072,28.326,28.326,28.326,On-going,COMMUNICATIONS DIVISION,76.47303111,2022.0,11.0
35,Construction of GPO Building cum Post Master residence at Tank,DDWP,2022-06-06,77.85,0.0,18.426,59.424,59.424,59.424,On-going,COMMUNICATIONS DIVISION,23.66859345,2022.0,6.0
36,"Construction of NHMP Building for SSP / LHQ 90 Km North at       E- 35, Mansehra",DDWP,2023-05-22,531.258,0.0,12.581,518.677,359.995,359.995,On-going,COMMUNICATIONS DIVISION,2.368152574,2023.0,5.0
37,Development of Traffic Factors for Pakistan,DDWP,2023-05-22,371.0,0.0,0.0,371.0,25.0,25.0,New,COMMUNICATIONS DIVISION,0.0,2023.0,5.0
38,CAREC Corridor Development Investment Programme Tranche-I Projects,ECNEC,2017-07-26,21041.0,13407.0,17875.33,3165.67,1500.0,3500.0,On-going,COMMUNICATIONS DIVISION,84.954755,2017.0,7.0
39,Indus Highway (N-55) Additional Carriageway project (Shikarpur- Rajanpur Section) Length 221.9 KM,ECNEC,2020-01-10,44703.89,40433.5,8220.35,36483.54,1500.0,6000.0,On-going,COMMUNICATIONS DIVISION,18.3884445,2020.0,1.0
40,Construction of Rajanpur-DG Khan Section of N-55 as 4-lane Highway (121.50 KM),ECNEC,2020-01-10,33172.22,28528.11,575.0,32597.22,1500.0,3000.0,On-going,FINANCE DIVISION,1.73337811,2020.0,1.0
41,Dualization & Rehabilitation of DG Khan Section – DI Khan Section of N-55 (208.19 km),ECNEC,2020-01-10,52276.53,44957.82,575.0,51701.53,1500.0,3000.0,On-going,COMMUNICATIONS DIVISION,1.099919983,2020.0,1.0
42,"Land Acquisition, Affected properties and Compensation for",ECNEC,2023-06-04,11377.33,0.0,4000.0,7377.33,4607.68,4607.68,On-going,COMMUNICATIONS DIVISION,35.15763365,2023.0,6.0
43,Dualization of Indus Highway (N- 55) Sarai Gambila to Kohat Section,ECNEC,2017-12-04,30130.0,0.0,28882.68,1247.32,1500.0,1500.0,On-going,COMMUNICATIONS DIVISION,95.86020577,2017.0,12.0
44,Construction of Motorway from Burhan/ Hakla on M-I to D.I. Khan,ECNEC,2016-07-11,110208.0,0.0,107462.45,2745.55,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,97.50875617,2016.0,7.0
45,Construction of Shandur-Gilgit Road 216 K.M,ECNEC,2021-04-06,49946.07,0.0,23442.51,26503.56,4500.0,4500.0,On-going,COMMUNICATIONS DIVISION,46.93564479,2021.0,4.0
46,Improvement and widening of Chitral-Booni Mastuj Shandur Road (153 KM) Revised,ECNEC,2022-07-10,17783.19,0.0,6174.49,11608.7,2000.0,2000.0,On-going,COMMUNICATIONS DIVISION,34.7209359,2022.0,7.0
47,"Construction, Rehabilitation, Improvement and Widening of Chitral-Ayun-Bumborate Road- Revised",CDWP,2021-05-24,4651.57,0.0,3550.93,1100.65,450.0,450.0,On-going,COMMUNICATIONS DIVISION,76.33831158,2021.0,5.0
48,Peshawar Northern Bypass Project (PNBP) 32.2 Km (3rd Revised),ECNEC,2024-07-02,27051.68,0.0,16972.26,10079.42,2500.0,2500.0,On-going,COMMUNICATIONS DIVISION,62.74013296,2024.0,7.0
49,Construction of 02 Lane Highway from Basima to Khuzdar (Length 106 km),ECNEC,2017-12-04,19188.44,0.0,11944.57,7243.87,45.55,45.55,On-going,COMMUNICATIONS DIVISION,62.24878104,2017.0,12.0
50,"Construction of Hoshab – Awaran – Khuzdar; Section of M-8 Project ; Section-2: Hoshab - Awaran, Naal, length 168 KM",ECNEC,2021-05-26,32244.82,0.0,3935.09,28309.73,5000.0,5000.0,On-going,COMMUNICATIONS DIVISION,12.20378963,2021.0,5.0
51,"Construction of Hoshab-Awaran Kiwzar; Section of M-8 Project: Package 01 : Hoshab -Awaran , length 146 k.m",ECNEC,2020-07-16,25835.89,0.0,4872.38,20963.51,3000.0,3000.0,On-going,COMMUNICATIONS DIVISION,18.85895938,2020.0,7.0
52,Construction of Dera Murad Jamali Bypass on National Highway N-65,CDWP,2020-04-22,2105.95,0.0,1222.99,882.96,500.0,500.0,On-going,COMMUNICATIONS DIVISION,58.07307866,2020.0,4.0
53,Dualization of Khuzdar - Kuchlak Section of National Highway (N- 25): Length 330.52 KM,ECNEC,2021-04-06,81582.22,0.0,11509.99,70072.23,7000.0,7000.0,On-going,COMMUNICATIONS DIVISION,14.10845402,2021.0,4.0
54,"Dualization of Rawalpindi - Kahuta Road (28.4 KM) Bypass and land acquisition, affected properties compensation and relocation of utilities for dualization of Rawalpindi- Kahuta Road (28.4 KM)  including 4-lane bridge over Sihala Railway Pass, Sihala Bypass and Kahuta Bypass",CDWP,2022-11-05,13012.13,0.0,5160.99,7851.14,3000.0,3000.0,On-going,COMMUNICATIONS DIVISION,39.66291453,2022.0,11.0
55,Construction of Overhead Bridge at Imamia Colony Railway Crossing Shahdra- Revised,CDWP,2023-11-04,3958.19,0.0,3899.71,58.484,58.484,58.484,On-going,COMMUNICATIONS DIVISION,98.52255703,2023.0,11.0
56,Construction of link Highway (04- Lane) Connecting Lahore-Sialkot Motorway (LSM) at Umerkot to Narowal via Narang Mandi,ECNEC,2023-06-27,36814.35,0.0,4484.28,32330.07,7000.0,7000.0,On-going,COMMUNICATIONS DIVISION,12.18079363,2023.0,6.0
57,Construction of Gwadar - Ratodero Road Project (M-8) Revised (Modified),ECNEC,2021-01-21,38026.28,0.0,32843.46,5182.82,500.0,500.0,On-going,COMMUNICATIONS DIVISION,86.37042593,2021.0,1.0
58,Construction of Kot Pindi Das Interchange on Motorway M-2 in District Sheikhupura,DDWP,2022-11-15,802.493,0.0,433.333,369.16,300.0,300.0,On-going,COMMUNICATIONS DIVISION,53.99835263,2022.0,11.0
59,"Rehablitation & Upgradation of 79.890 KM, Jhal Jaho-Bela Road",ECNEC,2020-01-10,11118.12,0.0,6908.87,4209.25,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,62.14063169,2020.0,1.0
60,Rehabilitation & Upgradation of 54.80 KM long Awaran-Jhalijao Road,CDWP,2021-05-24,6954.95,0.0,3224.14,3730.81,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,46.35748639,2021.0,5.0
61,Construction of Ziarat Mor - Kech - Harnai Road (107.2 km) and Harnai - Sanjavi Road (55.1 km),ECNEC,2018-07-03,8379.08,0.0,1710.83,6668.24,1.0,1.0,On-going,COMMUNICATIONS DIVISION,20.41787404,2018.0,7.0
62,"Improvement, Upgradation and Widening of Jaglot - Skardu Road (S-1, 167 km) Revised",ECNEC,2017-10-07,32325.6,0.0,25905.81,6419.8,2500.0,2500.0,On-going,COMMUNICATIONS DIVISION,80.14022942,2017.0,10.0
63,Khyber Pass Economic Corridor (KPEC) Project-Revised,ECNEC,2020-07-16,77907.96,71385.96,936.029,76971.93,1000.0,3000.0,On-going,COMMUNICATIONS DIVISION,1.201454896,2020.0,7.0
64,Design and Feasibilities Studies,Approved,,2874.49,0.0,2549.25,325.246,500.0,500.0,On-going,COMMUNICATIONS DIVISION,88.68529722,,
65,Construction of Naukundi- Mashkhal Road (103 KM),CDWP,2020-09-06,7708.91,0.0,5046.33,2662.58,3500.0,3500.0,On-going,COMMUNICATIONS DIVISION,65.46100551,2020.0,9.0
66,Dualization of Quetta Western Bypass (22.7 km),CDWP,2020-04-22,6890.57,0.0,5525.33,1365.24,1365.24,1365.24,On-going,COMMUNICATIONS DIVISION,80.18683505,2020.0,4.0
67,Construction of Bhong Interchange on Sukkur-Multan Motorway (M-5) at its intersection with Bhong-Sadiqabad Road (KM 520+130),DDWP,2022-11-02,1200.67,0.0,500.0,700.67,350.0,350.0,On-going,COMMUNICATIONS DIVISION,41.64341576,2022.0,11.0
68,Construction of Flyover at the Junction of N-5 and N-65 at Sukkur 4-Lane alongwith approach Roads.,DDWP,2022-06-06,1373.31,0.0,300.0,1073.31,300.0,300.0,On-going,COMMUNICATIONS DIVISION,21.84503135,2022.0,6.0
69,Dualization of Kuchlak-Zhob Section of N-50 (305 KM),ECNEC,2019-07-15,63601.56,0.0,13930.81,49670.75,3500.0,3500.0,On-going,COMMUNICATIONS DIVISION,21.90325206,2019.0,7.0
70,"Construction of Athmuqam - Sharda-Kel - Taobat Road Section (109.2 km) including two tunnels at Kahori/ Kamser (3.7 km) and Challpani (0.6 KM) Section of Neelum Valley Road, Azad Jammu & Kashmir  (AJ&K) - Revised",ECNEC,2022-06-12,9018.05,7895.2,50.0,8968.05,50.0,250.0,On-going,COMMUNICATIONS DIVISION,0.554443588,2022.0,6.0
71,Construction of Bridge on River Ravi at Syed Wala (Revised),CDWP,2018-03-29,1437.0,0.0,1109.72,327.277,10.0,10.0,On-going,COMMUNICATIONS DIVISION,77.22477383,2018.0,3.0
72,Construction of Additional Carriageway of Torkham Jalalabad Road Project (ACW TJRP) in the Afghanistan (2nd Revised),ECNEC,2024-07-02,17140.62,0.0,7344.0,9796.62,4000.0,4000.0,On-going,COMMUNICATIONS DIVISION,42.84559135,2024.0,7.0
73,"land Acquisition, affected properties compensation and relocation of utilities for construction of 959 KM Karachi - Lahore Motorway (KLM)",ECNEC,2014-03-07,51000.0,0.0,46894.97,4105.03,300.0,300.0,On-going,COMMUNICATIONS DIVISION,91.95092157,2014.0,3.0
74,Lahore-Multan Motorway (M-3 section) of Karachi - Lahore Motorway,ECNEC,2015-11-14,150665.03,0.0,135006.83,15658.19,500.0,500.0,On-going,COMMUNICATIONS DIVISION,89.60727649,2015.0,11.0
75,"Land Acquisition, Affected Properties compensation and relocation of utilities for dualization of Kuchlak - Zhob Section of N-50 (298 KM)-Revised",CDWP,2023-10-26,7224.42,0.0,3629.98,3594.44,1500.0,1500.0,On-going,COMMUNICATIONS DIVISION,50.2459713,2023.0,10.0
76,Construction of Lodhran-Multan Section (North Bound 62 Kms) of N-5 and Construction of 02 Flyover at Railway crossing on Lodhran Bypass,ECNEC,2020-04-30,12434.92,0.0,1429.41,11005.51,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,11.49512824,2020.0,4.0
77,Improvement and Widening of N- 45 (130.22 KM),ECNEC,2016-08-22,17423.0,16030.35,339.381,17083.62,50.0,150.0,On-going,COMMUNICATIONS DIVISION,1.947890719,2016.0,8.0
78,Construction of Malakand Tunnel (Phase-I),ECNEC,2017-11-24,16554.0,14110.0,110.0,16444.0,10.0,110.0,On-going,COMMUNICATIONS DIVISION,0.664491966,2017.0,11.0
79,Improvement and widening of N-5 (813 km) (Feasibility Study),DDWP,2022-06-06,159.89,0.0,50.0,109.89,100.0,100.0,On-going,COMMUNICATIONS DIVISION,31.27149916,2022.0,6.0
80,Construction of Kharan-Basima Road (124 km) Feasibility Study,DDWP,2020-12-24,29.386,0.0,29.386,0.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,100.0,2020.0,12.0
81,Construction of Wangu Hill Tunnel on  M-8 (Feasibility Study),DDWP,2022-03-28,41.978,0.0,41.978,0.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,100.0,2022.0,3.0
82,Dualization / Strengthening of National Highway N-65 from Jacobabad to Dhadar (Feasibility Study),DDWP,2022-06-06,42.98,0.0,42.98,0.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,100.0,2022.0,6.0
83,Construction of Motorway Hub- Dureji-Dadu (M-7) (Feasibility Study),DDWP,2022-06-06,200.0,0.0,50.0,150.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,25.0,2022.0,6.0
84,Construction of Additional Carriageway for approach roads,DDWP,2022-06-06,12.69,0.0,12.69,0.0,1.0,1.0,On-going,COMMUNICATIONS DIVISION,100.0,2022.0,6.0
85,Construction of Muzaffarabad - Mansehra Road (26.6 km approx.),CDWP,2022-06-24,44720.0,0.0,15.0,44705.0,580.0,2800.0,On-going,COMMUNICATIONS DIVISION,0.033542039,2022.0,6.0
86,Kharian – Rawalpindi Motorway,ECNEC,2021-12-31,36112.0,0.0,3688.0,32424.0,50.0,50.0,On-going,COMMUNICATIONS DIVISION,10.21267169,2021.0,12.0
87,"Construction of Hyderabad – Sukkur (306 KM), 6-Lane divided , fenced Motorway on Build Operate Transfer (BOT) basis - 2nd Revised",ECNEC,2022-06-07,10300.0,0.0,5702.99,4597.01,50.0,50.0,On-going,COMMUNICATIONS DIVISION,55.36883495,2022.0,6.0
88,Sialkot (Sambrial) – Kharian Motorway,ECNEC,2021-11-03,15240.71,0.0,8227.9,7012.81,3000.0,3000.0,On-going,COMMUNICATIONS DIVISION,53.98633003,2021.0,11.0
89,Dualization and Rehabilitation of Karachi Quetta - Chamman Road (N-25) from Karachi -Karoro (232 km) & Wadh - Khuzdar (41 Km) having total Length 273 km,ECNEC,2022-07-10,74716.23,0.0,3000.0,71716.23,5000.0,5000.0,On-going,COMMUNICATIONS DIVISION,4.01519188,2022.0,7.0
90,Dualization of Karoro - Wadh Section (83 km) & Kuchlak - Chaman Section (104 Km) of National Highway (N-25) Length: 187- km,ECNEC,2022-07-10,67671.92,0.0,3000.0,64671.92,5000.0,5000.0,On-going,COMMUNICATIONS DIVISION,4.433153367,2022.0,7.0
91,Rehabilitation & Upgradation of Pezu – Tank Road (Length: 38 Km) 1st Revised,CDWP,2023-06-23,4778.21,0.0,1500.0,3278.21,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,31.39250891,2023.0,6.0
92,Construction of Yarik-Tank Road (Length 35 Km) Revised,CDWP,2023-07-18,5414.45,0.0,200.0,5214.45,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,3.693819317,2023.0,7.0
93,Construction of Two lane D.I Khan By pass (Km 14.9),CDWP,2023-03-24,3097.05,0.0,50.0,3047.05,50.0,50.0,On-going,COMMUNICATIONS DIVISION,1.614439547,2023.0,3.0
94,Construction of Abdul Khel Interchange to Dhakki to Kalurkot road (45 Km),ECNEC,2023-07-27,14257.29,0.0,50.0,14207.29,50.0,50.0,On-going,COMMUNICATIONS DIVISION,0.350697783,2023.0,7.0
95,Construction of Road Link from Ramak (N-55) to Daraban   (N-50) (Length: 66 Km) (D.I Khan),CDWP,2023-06-14,8200.0,0.0,1000.0,7200.0,50.0,50.0,On-going,COMMUNICATIONS DIVISION,12.19512195,2023.0,6.0
96,Rehabilitation & Reconstruction of (N-5) from Moro to Ranipur Km. 318-404 (NBC/SBC) & 32 x Damaged Bridges under ADB Flood Emergency Loan,ECNEC,2022-06-12,36211.59,32590.43,4759.46,31452.13,600.0,5600.0,On-going,COMMUNICATIONS DIVISION,13.14347147,2022.0,6.0
97,Improvement and widening of N-5 (813 km) (Feasibility Study),DDWP,2022-06-06,159.89,0.0,50.0,109.89,100.0,100.0,On-going,COMMUNICATIONS DIVISION,31.27149916,2022.0,6.0
98,Construction of Kharan-Basima Road (124 km) Feasibility Study,DDWP,2020-12-24,29.386,0.0,29.386,0.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,100.0,2020.0,12.0
99,Construction of Wangu Hill Tunnel on  M-8 (Feasibility Study),DDWP,2022-03-28,41.978,0.0,41.978,0.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,100.0,2022.0,3.0
100,Dualization / Strengthening of National Highway N-65 from Jacobabad to Dhadar (Feasibility Study),DDWP,2022-06-06,42.98,0.0,42.98,0.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,100.0,2022.0,6.0
101,Construction of Motorway Hub- Dureji-Dadu (M-7) (Feasibility Study),DDWP,2022-06-06,200.0,0.0,50.0,150.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,25.0,2022.0,6.0
102,Construction of Additional Carriageway for approach roads including existing bridge over River Chenab at Head Muhammad Wala (Feasibility Study),DDWP,2022-06-06,12.69,0.0,12.69,0.0,1.0,1.0,On-going,COMMUNICATIONS DIVISION,100.0,2022.0,6.0
103,Construction of dual carriageway from Deepalpur to Lahore - Multan Motorway (M-3) via Okara (88 km) (Feasibility Study),DDWP,2022-06-06,21.501,0.0,21.501,0.0,1.0,1.0,New,INFORMATION & BROADCASTING DIVISION,100.0,2022.0,6.0
104,Construction of Motorway from Ghulam Khan to Esa Khel Interchange (Feasibility Study),DDWP,2022-06-06,49.46,0.0,25.0,24.46,1.0,1.0,On-going,COMMUNICATIONS DIVISION,50.54589567,2022.0,6.0
105,Construction of Babusar Tunnel and its link road (N-15) Feasibility Study,DDWP,2021-05-08,98.687,0.0,98.687,0.0,98.69,98.69,On-going,COMMUNICATIONS DIVISION,100.0,2021.0,5.0
106,Construction of Interchange on Hazara Motorway to connect Abbottabad and Sherwan Road right after the first tunnel (Shimala Hall Tunnel) beside Sarwan Road,CDWP,2023-05-23,1829.78,0.0,50.0,1779.78,350.0,350.0,On-going,COMMUNICATIONS DIVISION,2.732568943,2023.0,5.0
107,"Establishment of Interchange at Tandlianwala Area, District Faisalabad on M-3 Karachi - Lahore Motorway (Feasibility Study)",DDWP,2022-06-06,2000.0,0.0,50.0,1950.0,5.0,5.0,On-going,COMMUNICATIONS DIVISION,2.5,2022.0,6.0
108,Construction of Bridge over River Indus at Ghazi Ghat on N-70,DDWP,2020-02-19,1878.28,0.0,50.0,1828.28,5.0,5.0,On-going,COMMUNICATIONS DIVISION,2.662009924,2020.0,2.0
109,Construction of Paharpur-Sidra More (N-55)  Road,CDWP,2023-06-14,2678.25,0.0,50.0,2628.25,1.0,1.0,On-going,COMMUNICATIONS DIVISION,1.866890694,2023.0,6.0
110,"Rehabilitation & Upgradation of Kundal Interchange to Laki Marwat to Tajazai road (Length: 56 Km), D.I Khan Development Package.",CDWP,2023-06-14,9224.95,0.0,50.0,9174.95,1.0,1.0,On-going,COMMUNICATIONS DIVISION,0.542008358,2023.0,6.0
111,"Construction Of an Interchange at (M-3) Abdul Hakeem Motorway at Essan, Sharaqpur, District Sheikhupura, 20 Km from M-2",CDWP,2023-06-14,1274.0,0.0,100.0,1174.0,500.0,500.0,On-going,COMMUNICATIONS DIVISION,7.849293564,2023.0,6.0
112,"Construction of Interchange on Lahore-Abdul Hakeem (M-3) at Taray Garh to facilitate the people of  Warburton, District Nankana Sahib",CDWP,2023-06-14,1475.73,0.0,100.0,1375.73,500.0,500.0,On-going,COMMUNICATIONS DIVISION,6.776307319,2023.0,6.0
113,Construction of Interchange on Lahore - Karachi Motorway M-3 at Bucheke Nankana Sahib Road in the name of Rai Mansab Ali Khan Kharal,CDWP,2023-06-14,1307.85,0.0,100.0,1207.85,500.0,500.0,On-going,COMMUNICATIONS DIVISION,7.646136789,2023.0,6.0
114,Construction of Lundiawala Interchange on Lahore - Abdul Hakeem Motorway,CDWP,2023-06-24,1566.34,0.0,100.0,1466.34,100.0,100.0,On-going,COMMUNICATIONS DIVISION,6.38430992,2023.0,6.0
115,Construction of an Interchange on Lahore - Sialkot Motorway (LSM) at Saloke,CDWP,2023-06-14,1523.89,0.0,100.0,1423.89,500.0,500.0,On-going,COMMUNICATIONS DIVISION,6.562153436,2023.0,6.0
116,Construction of Lahore - Sahiwal - Bahawalnagar Motorway (295 Km),ECNEC,2023-07-19,263795.59,0.0,7500.0,256295.59,18000.0,18000.0,On-going,COMMUNICATIONS DIVISION,2.843110455,2023.0,7.0
117,Construction of Lahore Bypass from Kalashah Kaku Exit to KLM to Multan Road near Radio Station (40 KM Approx),ECNEC,2023-11-07,34446.59,0.0,7000.0,27446.59,8000.0,8000.0,On-going,COMMUNICATIONS DIVISION,20.32131482,2023.0,11.0
118,Construction of Khawazakhela- Besham Expressway 48 KM,ECNEC,2023-07-19,79130.88,0.0,10.0,79120.88,1000.0,1000.0,On-going,COMMUNICATIONS DIVISION,0.012637292,2023.0,7.0
119,"China Aided Projects of Pakistan National Highway N-5 Sectional Rehabilitation, Hala-Moro, 66 Km",Grant,,28500.0,25650.0,125.0,28375.0,0.0,1000.0,On-going,COMMUNICATIONS DIVISION,0.438596491,,
120,Extension of Margalla Highway from G.T. Road (N-5) to Motorway (M-1) Punjab Limit (Length 2.8 km),CDWP,2023-06-07,4193.27,0.0,1500.0,2693.27,188.53,188.53,On-going,COMMUNICATIONS DIVISION,35.77160545,2023.0,6.0
121,Dualization of Existing Road from Faisalabad Bypass-Motorway (M- 3) via Satiana Length =26KM Approx,CDWP,2023-06-07,4334.85,0.0,120.0,4214.85,500.0,500.0,On-going,COMMUNICATIONS DIVISION,2.768261878,2023.0,6.0
122,Extension of KLM Start Point to Saggian Road and Main Ravi Bridge (Approx. Length = 10 Km),CDWP,2023-06-07,7459.91,0.0,2199.63,5260.29,7500.0,7500.0,On-going,COMMUNICATIONS DIVISION,29.48601257,2023.0,6.0
123,Construction of road More Khunda to Habo by Bala District Nankana Sahib,CDWP,2023-06-24,5680.35,0.0,50.0,5630.35,50.0,50.0,On-going,COMMUNICATIONS DIVISION,0.880227451,2023.0,6.0
